2024/12/13 12:50:11 200 |     103.385µs |     [::1]:36490 | GET     /
2024/12/13 12:50:11 200 |     150.937µs |     [::1]:36490 | GET     /
2024/12/13 12:50:11 200 |     172.453µs |     [::1]:36490 | GET     /
2024/12/13 12:50:11 200 |      14.173µs |     [::1]:36490 | GET     /
2024/12/13 12:50:11 200 |      97.674µs |     [::1]:36490 | GET     /
2024/12/13 12:50:11 200 |     134.433µs |     [::1]:36490 | GET     /
2024/12/13 12:50:11 200 |     184.987µs |     [::1]:36490 | GET     /
2024/12/13 12:50:11 200 |     210.674µs |     [::1]:36490 | GET     /
2024/12/13 12:50:11 200 |      18.839µs |     [::1]:36490 | GET     /
2024/12/13 12:50:11 200 |       106.1µs |     [::1]:36490 | GET     /
2024/12/13 12:50:11 200 |     141.047µs |     [::1]:36490 | GET     /
2024/12/13 12:50:11 200 |     209.564µs |     [::1]:36490 | GET     /
2024/12/13 12:50:11 200 |     251.162µs |     [::1]:36490 | GET     /
2024/12/13 12:50:11 200 |      41.424µs |     [::1]:36490 | GET     /
2024/12/13 12:50:11 200 |     215.994µs |     [::1]:36490 | GET     /
2024/12/13 12:50:11 200 |     299.429µs |     [::1]:36490 | GET     /
2024/12/13 12:50:11 200 |      450.34µs |     [::1]:36490 | GET     /
2024/12/13 12:50:11 200 |     535.659µs |     [::1]:36490 | GET     /
2024/12/13 12:50:11 200 |      42.076µs |     [::1]:36490 | GET     /
2024/12/13 12:50:11 200 |     225.134µs |     [::1]:36490 | GET     /
2024/12/13 12:50:11 200 |     427.917µs |     [::1]:36490 | GET     /
2024/12/13 12:50:11 200 |     623.422µs |     [::1]:36490 | GET     /
2024/12/13 12:50:11 200 |     691.152µs |     [::1]:36490 | GET     /
2024/12/13 12:50:12 200 |      58.755µs |     [::1]:36490 | GET     /
2024/12/13 12:50:12 200 |     408.117µs |     [::1]:36490 | GET     /
2024/12/13 12:50:12 200 |     518.006µs |     [::1]:36490 | GET     /
2024/12/13 12:50:12 200 |     720.937µs |     [::1]:36490 | GET     /
2024/12/13 12:50:12 200 |     926.944µs |     [::1]:36490 | GET     /
2024/12/13 12:50:12 200 |      44.472µs |     [::1]:36490 | GET     /
2024/12/13 12:50:12 200 |     229.076µs |     [::1]:36490 | GET     /
2024/12/13 12:50:12 200 |     328.587µs |     [::1]:36490 | GET     /
2024/12/13 12:50:12 200 |     470.087µs |     [::1]:36490 | GET     /
2024/12/13 12:50:12 200 |     552.921µs |     [::1]:36490 | GET     /
2024/12/13 12:50:12 200 |      61.301µs |     [::1]:36490 | GET     /
2024/12/13 12:50:12 200 |     320.805µs |     [::1]:36490 | GET     /
2024/12/13 12:50:12 200 |      394.78µs |     [::1]:36490 | GET     /
2024/12/13 12:50:12 200 |     565.647µs |     [::1]:36490 | GET     /
2024/12/13 12:50:12 200 |     664.923µs |     [::1]:36490 | GET     /
2024/12/13 12:50:12 200 |      44.548µs |     [::1]:36490 | GET     /
2024/12/13 12:50:12 200 |     231.807µs |     [::1]:36490 | GET     /
2024/12/13 12:50:12 200 |     337.698µs |     [::1]:36490 | GET     /
2024/12/13 12:50:12 200 |     490.772µs |     [::1]:36490 | GET     /
2024/12/13 12:50:12 200 |     589.098µs |     [::1]:36490 | GET     /
2024/12/13 12:50:13 200 |     146.102µs |     [::1]:36490 | GET     /
2024/12/13 12:50:13 200 |     431.748µs |     [::1]:36490 | GET     /
2024/12/13 12:50:13 200 |      675.25µs |     [::1]:36490 | GET     /
2024/12/13 12:50:13 200 |     952.152µs |     [::1]:36490 | GET     /
2024/12/13 12:50:13 200 |    1.163253ms |     [::1]:36490 | GET     /
2024/12/13 13:05:17 200 |      43.578µs |     [::1]:43264 | GET     /
2024/12/13 13:05:17 200 |     209.129µs |     [::1]:43264 | GET     /
2024/12/13 13:05:17 200 |     241.971µs |     [::1]:43264 | GET     /
2024/12/13 13:05:17 200 |     315.431µs |     [::1]:43264 | GET     /
2024/12/13 13:05:17 200 |     345.897µs |     [::1]:43264 | GET     /
2024/12/13 13:12:34 403 |         159ns |     [::1]:56744 | OPTIONS /
2024/12/13 13:12:34 403 |     147.546µs |     [::1]:56744 | OPTIONS /
2024/12/13 13:15:49 403 |         649ns |     [::1]:50334 | OPTIONS /
2024/12/13 13:15:49 403 |     469.726µs |     [::1]:50334 | OPTIONS /
2024/12/13 13:15:52 403 |         138ns |     [::1]:50334 | OPTIONS /
2024/12/13 13:15:52 403 |      79.513µs |     [::1]:50334 | OPTIONS /
2024/12/13 13:16:07 403 |         461ns |     [::1]:50334 | OPTIONS /
2024/12/13 13:16:07 403 |    1.103142ms |     [::1]:50334 | OPTIONS /
2024/12/13 13:16:38 204 |         148ns |     [::1]:39520 | OPTIONS /
2024/12/13 13:16:38 204 |     128.995µs |     [::1]:39520 | OPTIONS /
2024/12/13 13:16:38 200 |      94.672µs |     [::1]:39520 | GET     /
2024/12/13 13:16:38 200 |     165.474µs |     [::1]:39520 | GET     /
2024/12/13 13:16:38 200 |     196.345µs |     [::1]:39520 | GET     /
2024/12/13 13:16:38 200 |      219.09µs |     [::1]:39520 | GET     /
2024/12/13 13:16:38 200 |     238.652µs |     [::1]:39520 | GET     /
2024/12/13 13:17:00 204 |         597ns |     [::1]:39520 | OPTIONS /
2024/12/13 13:17:00 204 |     136.777µs |     [::1]:39520 | OPTIONS /
2024/12/13 13:17:23 204 |         458ns |     [::1]:39520 | OPTIONS /
2024/12/13 13:17:23 204 |     213.358µs |     [::1]:39520 | OPTIONS /
2024/12/13 13:17:23 200 |      67.365µs |     [::1]:39520 | GET     /
2024/12/13 13:17:23 200 |     897.385µs |     [::1]:39520 | GET     /
2024/12/13 13:17:23 200 |    1.008068ms |     [::1]:39520 | GET     /
2024/12/13 13:17:23 200 |    1.175185ms |     [::1]:39520 | GET     /
2024/12/13 13:17:23 200 |    1.281695ms |     [::1]:39520 | GET     /
2024/12/14 10:20:09 204 |         369ns |     [::1]:57916 | OPTIONS /
2024/12/14 10:20:09 204 |     325.022µs |     [::1]:57916 | OPTIONS /
2024/12/14 10:20:09 200 |      79.072µs |     [::1]:57916 | GET     /
2024/12/14 10:20:09 200 |         322µs |     [::1]:57916 | GET     /
2024/12/14 10:20:09 200 |     436.363µs |     [::1]:57916 | GET     /
2024/12/14 10:20:09 200 |     526.435µs |     [::1]:57916 | GET     /
2024/12/14 10:20:09 200 |     626.167µs |     [::1]:57916 | GET     /
2024/12/14 10:24:58 200 |      45.993µs |     [::1]:57916 | GET     /
2024/12/14 10:24:58 200 |     495.741µs |     [::1]:57916 | GET     /
2024/12/14 10:24:58 200 |     624.183µs |     [::1]:57916 | GET     /
2024/12/14 10:24:58 200 |      722.77µs |     [::1]:57916 | GET     /
2024/12/14 10:24:58 200 |     782.442µs |     [::1]:57916 | GET     /
2024/12/14 10:28:15 200 |      96.116µs |     [::1]:35068 | GET     /
2024/12/14 10:28:15 200 |     456.541µs |     [::1]:35068 | GET     /
2024/12/14 10:28:15 200 |     612.107µs |     [::1]:35068 | GET     /
2024/12/14 10:28:45 200 |     143.568µs |     [::1]:35462 | GET     /
2024/12/14 10:28:45 200 |     588.111µs |     [::1]:35462 | GET     /
2024/12/14 10:28:45 200 |     715.706µs |     [::1]:35462 | GET     /
2024/12/14 10:31:16 200 |     153.251µs |     [::1]:54998 | GET     /
2024/12/14 10:31:16 200 |     528.756µs |     [::1]:54998 | GET     /
2024/12/14 10:31:57 403 |       88.49µs |     [::1]:32782 | GET     /
2024/12/14 10:31:57 403 |     403.848µs |     [::1]:32782 | GET     /
2024/12/14 10:32:16 403 |      47.499µs |     [::1]:32782 | GET     /
2024/12/14 10:32:16 403 |    1.595367ms |     [::1]:32782 | GET     /
2024/12/14 10:32:34 200 |     283.583µs |     [::1]:39942 | GET     /
2024/12/14 10:32:34 200 |     782.222µs |     [::1]:39942 | GET     /
2024/12/14 10:32:36 200 |      35.003µs |     [::1]:39942 | GET     /
2024/12/14 10:32:36 200 |     973.462µs |     [::1]:39942 | GET     /
2024/12/14 10:33:00 200 |      25.451µs |     [::1]:39942 | GET     /
2024/12/14 10:33:00 200 |     237.298µs |     [::1]:39942 | GET     /
2024/12/14 10:33:01 200 |     538.668µs |     [::1]:39942 | GET     /
2024/12/14 10:33:01 200 |      881.47µs |     [::1]:39942 | GET     /
2024/12/14 10:33:52 200 |      282.51µs |     [::1]:44810 | GET     /
2024/12/14 10:33:52 200 |     716.234µs |     [::1]:44810 | GET     /
2024/12/14 10:33:54 200 |      44.884µs |     [::1]:44810 | GET     /
2024/12/14 10:33:54 200 |     258.541µs |     [::1]:44810 | GET     /
2024/12/20 08:21:26 204 |         373ns |     [::1]:54666 | OPTIONS /
2024/12/20 08:21:26 200 |     335.619µs |     [::1]:54666 | GET     /
2024/12/31 01:53:17 200 |      76.485µs | 127.0.0.1:39970 | POST    /users
2024/12/31 11:27:56 2024/12/31 11:27:56 [INFO] Initialized file logger at: /home/bane/Desktop/zen/logs/zen.log
